name,city,country,country_code,iata,icao,x,y,elevation,apid,timezone,dst,tz_id,type,source,ap_uid,ap_name
Spichenkovo Airport,Novokuznetsk,Russia,,NOZ,UNWW,86.877197,53.811401,1024,6119,7,N,Asia/Krasnoyarsk,airport,OurAirports,user,"Novokuznetsk-Spichenkovo Airport (NOZ), Russia"
Spirit of St Louis Airport,Null,United States,,SUS,KSUS,-90.652000427246,38.662101745605,463,7015,-6,A,America/Chicago,airport,OurAirports,user,"Null-Spirit of St Louis Ai. (SUS), United States"
Spitfire Aerodrome,Pedricktown,United States,,7N7,,-75.3977211,39.7355633,40,8549,-5,A,America/New_York,airport,User,user,"Pedricktown-Spitfire Aerod. (7N7), United States"
Split Airport,Split,Croatia,,SPU,LDSP,16.29800033569336,43.53889846801758,79,1206,1,E,Europe/Zagreb,airport,OurAirports,,"Split Airport (SPU), Croatia"
Spokane International Airport,Spokane,United States,,GEG,KGEG,-117.53399658203125,47.61989974975586,2376,3467,-8,A,America/Los_Angeles,airport,OurAirports,,"Spokane International Airp. (GEG), United States"
Spriggs Payne Airport,Monrovia,Liberia,,MLW,GLMR,-10.758700370788574,6.289060115814209,25,1062,0,N,Africa/Monrovia,airport,OurAirports,,"Monrovia-Spriggs Payne Airport (MLW), Liberia"
Spring Hill Airport,Sterling,United States,,70N,,-75.4158972,41.3473569,1729,8530,-5,A,America/New_York,airport,User,user,"Sterling-Spring Hill Airpo. (70N), United States"
Spring Point Airport,Spring Point,Bahamas,,AXP,MYAP,-73.97090148930002,22.441799163800003,11,1932,-5,U,America/Nassau,airport,OurAirports,,"Spring Point Airport (AXP), Bahamas"
Springbok Airport,Springbok,South Africa,,SBU,FASB,17.939599990844727,-29.689300537109375,2690,852,2,U,Africa/Johannesburg,airport,OurAirports,,"Springbok Airport (SBU), South Africa"
Springer Municipal Airport,Springer,United States,,S42,,-104.6178514,36.3315222,5891,13163,-6,A,,,,user,"Springer Municipal Airport (S42), United States"
Springfield Amtrak Station,Springfield MA,United States,,ZSF,,-72.593054,42.106,65,8725,-5,A,America/New_York,station,User,user,"Springfield MA-Springfield. (ZSF), United States"
Springfield Branson National Airport,Springfield,United States,,SGF,KSGF,-93.38860321,37.24570084,1268,4348,-6,A,America/Chicago,airport,OurAirports,user,"Springfield Branson Nation. (SGF), United States"
Springfield-Beckley Municipal Airport,Springfield,United States,,SGH,KSGH,-83.840202331543,39.840301513672,1051,7908,-5,A,America/New_York,airport,OurAirports,user,"Springfield-Beckley Munici. (SGH), United States"
